Identifier,Status,Grade,"Maximum Grade","Grade can be changed","Last modified (submission)","Last modified (grade)","Feedback comments"
"Participant 7602","Submitted for grading",,100.00,Yes,"Monday, 27 July 2020, 9:54 AM","Sunday, 26 July 2020, 3:37 PM",
"Participant 7618","Submitted for grading",,100.00,Yes,"Saturday, 25 July 2020, 10:45 AM","Wednesday, 22 July 2020, 1:03 PM",
"Participant 7612","Submitted for grading",,100.00,Yes,"Friday, 17 July 2020, 1:45 PM","Friday, 17 July 2020, 1:30 PM",
"Participant 7610","Submitted for grading",,100.00,Yes,"Monday, 27 July 2020, 3:43 AM","Monday, 27 July 2020, 3:43 AM",
"Participant 7613","Submitted for grading",,100.00,Yes,"Saturday, 25 July 2020, 2:08 PM","Friday, 24 July 2020, 11:34 AM",
"Participant 7601","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 7:24 PM","Sunday, 26 July 2020, 7:24 PM",
"Participant 7597","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 9:10 PM","Sunday, 26 July 2020, 9:10 PM",
"Participant 7596","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 2:48 PM","Sunday, 26 July 2020, 2:48 PM",
"Participant 7600","Submitted for grading",,100.00,Yes,"Saturday, 25 July 2020, 2:50 PM","Saturday, 25 July 2020, 2:50 PM",
"Participant 7611","Submitted for grading",,100.00,Yes,"Monday, 27 July 2020, 11:04 AM","Monday, 27 July 2020, 11:04 AM",
"Participant 7598","Submitted for grading",,100.00,Yes,"Thursday, 23 July 2020, 6:49 AM","Thursday, 23 July 2020, 6:49 AM",
"Participant 7603","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 9:26 PM","Sunday, 26 July 2020, 9:26 PM",
"Participant 7617","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 11:21 PM","Sunday, 26 July 2020, 11:21 PM",
"Participant 7605","Submitted for grading",,100.00,Yes,"Thursday, 23 July 2020, 5:49 PM","Thursday, 23 July 2020, 5:49 PM",
"Participant 7620","Submitted for grading",,100.00,Yes,"Monday, 27 July 2020, 8:39 AM","Monday, 27 July 2020, 8:39 AM",
"Participant 7621","Submitted for grading",,100.00,Yes,"Friday, 24 July 2020, 6:21 PM","Friday, 24 July 2020, 6:21 PM",
"Participant 8353","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 9:32 PM","Sunday, 26 July 2020, 9:32 PM",
"Participant 7599","Submitted for grading - 4 days 1 hour late",,100.00,Yes,"Friday, 31 July 2020, 1:35 PM","Friday, 31 July 2020, 1:35 PM",
"Participant 7606","Submitted for grading",,100.00,Yes,"Monday, 27 July 2020, 2:13 AM","Monday, 27 July 2020, 2:13 AM",
"Participant 7608","Submitted for grading - 29 mins 24 secs late",,100.00,Yes,"Monday, 27 July 2020, 12:29 PM","Monday, 27 July 2020, 12:29 PM",
"Participant 7619","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 5:51 PM","Sunday, 26 July 2020, 5:40 PM",
"Participant 7609","Submitted for grading",,100.00,Yes,"Friday, 24 July 2020, 9:22 PM","Friday, 24 July 2020, 9:22 PM",
"Participant 7615","Submitted for grading",,100.00,Yes,"Sunday, 26 July 2020, 10:16 AM","Sunday, 26 July 2020, 10:14 AM",
"Participant 7604","No submission - Extension granted until: Monday, 3 August 2020, 12:00 PM",,100.00,Yes,-,-,
"Participant 7616","No submission - Extension granted until: Monday, 3 August 2020, 12:00 PM",,100.00,Yes,-,-,
"Participant 8354","No submission - Assignment is overdue by: 4 days 3 hours",,100.00,Yes,-,-,
"Participant 7614","No submission - Extension granted until: Monday, 3 August 2020, 12:00 PM",,100.00,Yes,-,-,
"Participant 7595","No submission - Extension granted until: Monday, 3 August 2020, 12:00 PM",,100.00,Yes,-,-,
"Participant 8842","No submission - Extension granted until: Monday, 3 August 2020, 12:00 PM",,100.00,Yes,-,-,
